date,nav
18-08-2026,1239.60900
17-08-2026,1245.40200
14-08-2026,1246.76900
13-08-2026,1247.91500
12-08-2026,1249.47800
11-08-2026,1249.68400
10-08-2026,1253.85000
07-08-2026,1251.72800
06-08-2026,1260.09300
05-08-2026,1259.64700
04-08-2026,1258.93800
03-08-2026,1267.42200
31-07-2026,1248.06100
30-07-2026,1240.96000
29-07-2026,1239.95400
28-07-2026,1229.18800
27-07-2026,1229.57400
24-07-2026,1215.97600
23-07-2026,1220.84900
22-07-2026,1226.74300
21-07-2026,1238.22300
20-07-2026,1236.57400
17-07-2026,1239.10800
16-07-2026,1231.72100
15-07-2026,1233.56000
14-07-2026,1228.90200
13-07-2026,1237.03700
10-07-2026,1236.77600
09-07-2026,1227.56600
08-07-2026,1218.46800
07-07-2026,1242.73700
06-07-2026,1241.23100
03-07-2026,1234.15900
02-07-2026,1228.49600
01-07-2026,1220.30100
30-06-2026,1211.25000
29-06-2026,1210.96000
25-06-2026,1217.44000
24-06-2026,1213.71100
23-06-2026,1204.13000
22-06-2026,1215.44000
19-06-2026,1210.15000
18-06-2026,1212.71000
17-06-2026,1205.66600
16-06-2026,1203.64300
15-06-2026,1198.73700
12-06-2026,1186.88300
11-06-2026,1159.48000
10-06-2026,1159.40700
09-06-2026,1161.65600
08-06-2026,1153.82700
05-06-2026,1164.81300
04-06-2026,1166.33000
03-06-2026,1163.96000
02-06-2026,1163.04400
01-06-2026,1160.63700
29-05-2026,1175.10400
27-05-2026,1193.43900
26-05-2026,1188.50100
25-05-2026,1194.83900
22-05-2026,1178.66300
21-05-2026,1175.18300
20-05-2026,1175.53500
19-05-2026,1171.97800
18-05-2026,1174.36700
15-05-2026,1175.44900
14-05-2026,1176.09500
13-05-2026,1161.95500
12-05-2026,1162.41600
11-05-2026,1185.39100
08-05-2026,1205.36900
07-05-2026,1208.78000
06-05-2026,1206.94000
05-05-2026,1187.10500
04-05-2026,1192.36700
30-04-2026,1186.27800
29-04-2026,1194.28700
28-04-2026,1190.23300
27-04-2026,1197.96700
24-04-2026,1189.75400
23-04-2026,1201.53400
22-04-2026,1212.67100
21-04-2026,1218.19200
20-04-2026,1207.09900
17-04-2026,1207.37700
16-04-2026,1199.59300
15-04-2026,1200.53200
13-04-2026,1183.02000
10-04-2026,1193.33500
09-04-2026,1173.92900
08-04-2026,1185.62700
07-04-2026,1139.38900
06-04-2026,1132.93700
02-04-2026,1119.71500
01-04-2026,1121.23100
31-03-2026,1107.28600
30-03-2026,1107.30800
27-03-2026,1134.53500
25-03-2026,1157.97900
24-03-2026,1138.77800
23-03-2026,1116.22300
20-03-2026,1148.33300
19-03-2026,1143.26200
